category,year,season,month,clicks,ttl_cat_clicks,month_min_clicks,min_cat_clicks,max_cat_clicks,month_max_clicks,avg_cat_clicks,std_cat_clicks,co_var_cat,mnth_ranking
pocket knife,2021,Autumn,9,60330,736249,6,50621,79294,12,61354.083333333336,8534.879617389654,13.910858338507195,6.0
pocket knife,2021,Autumn,10,68316,736249,6,50621,79294,12,61354.083333333336,8534.879617389654,13.910858338507195,3.0
pocket knife,2021,Autumn,11,70251,736249,6,50621,79294,12,61354.083333333336,8534.879617389654,13.910858338507195,2.0
pocket knife,2021,Winter,12,79294,736249,6,50621,79294,12,61354.083333333336,8534.879617389654,13.910858338507195,1.0
purses,2021,Winter,1,61269,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,3.0
purses,2021,Winter,2,44246,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,10.0
purses,2021,Spring,3,47944,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,7.0
purses,2021,Spring,4,42511,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,11.0
purses,2021,Spring,5,51575,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,6.0
purses,2021,Summer,6,39488,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,12.0
purses,2021,Summer,7,53266,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,5.0
purses,2021,Summer,8,56219,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,4.0
purses,2021,Autumn,9,47538,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,9.0
purses,2021,Autumn,10,47802,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,8.0
purses,2021,Autumn,11,75175,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,2.0
purses,2021,Winter,12,108291,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246,1.0
racing bikes,2021,Winter,1,39657,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,9.0
racing bikes,2021,Winter,2,39118,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,10.0
racing bikes,2021,Spring,3,48499,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,7.0
racing bikes,2021,Spring,4,51526,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,6.0
racing bikes,2021,Spring,5,54354,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,5.0
racing bikes,2021,Summer,6,55788,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,4.0
racing bikes,2021,Summer,7,73454,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,2.0
racing bikes,2021,Summer,8,76553,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,1.0
racing bikes,2021,Autumn,9,60593,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,3.0
racing bikes,2021,Autumn,10,47264,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,8.0
racing bikes,2021,Autumn,11,38975,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,11.0
racing bikes,2021,Winter,12,30727,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927,12.0
rum,2021,Winter,1,56044,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,5.0
rum,2021,Winter,2,45488,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,10.0
rum,2021,Spring,3,56282,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,3.0
rum,2021,Spring,4,52047,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,8.0
rum,2021,Spring,5,52355,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,7.0
rum,2021,Summer,6,43371,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,12.0
rum,2021,Summer,7,56063,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,4.0
rum,2021,Summer,8,50377,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,9.0
rum,2021,Autumn,9,44729,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,11.0
rum,2021,Autumn,10,55153,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,6.0
rum,2021,Autumn,11,98319,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,1.0
rum,2021,Winter,12,95712,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773,2.0
sanitary installation,2021,Winter,1,67163,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,1.0
sanitary installation,2021,Winter,2,58005,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,3.0
sanitary installation,2021,Spring,3,63477,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,2.0
sanitary installation,2021,Spring,4,52520,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,10.0
sanitary installation,2021,Spring,5,53929,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,8.0
sanitary installation,2021,Summer,6,42632,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,12.0
sanitary installation,2021,Summer,7,54025,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,7.0
sanitary installation,2021,Summer,8,54160,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,6.0
