Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
19,Gerard Moreno,es ESP,FW,Villarreal,30,1992,13.7,7,41,19,46.3,3,1.39,0.15,0.32,15.8,0,1,2,8.7,7.2,0.18,-1.7,-1.2
20,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,7,71,20,28.2,2.6,0.73,0.1,0.35,14.4,1,0,1,8.3,7.5,0.11,-1.3,-0.5
21,Youssef En-Nesyri,ma MAR,FW,Sevilla,25,1997,18.5,8,60,23,38.3,3.25,1.25,0.13,0.35,11.6,0,0,0,8.1,8.1,0.14,-0.1,-0.1
22,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,28,1993,25.7,7,66,21,31.8,2.56,0.82,0.09,0.29,17.2,2,1,1,8,7.2,0.11,-1,-1.2
23,Nicolas Jackson,sn SEN,FW,Villarreal,21,2001,17.8,12,41,23,56.1,2.31,1.3,0.29,0.52,13.4,0,0,0,8,8,0.2,4,4
24,Yeremi Pino,es ESP,"FW,MF",Villarreal,19,2002,27.2,4,50,19,38,1.84,0.7,0.08,0.21,13.2,0,0,0,8,8,0.16,-4,-4
25,Borja Mayoral,es ESP,FW,Getafe,25,1997,30.7,8,50,19,38,1.63,0.62,0.16,0.42,14.6,0,0,2,7.9,6.3,0.13,0.1,1.7
26,Javi Puado,es ESP,"FW,MF",Espanyol,24,1998,26,7,57,23,40.4,2.19,0.88,0.12,0.3,14.2,0,0,0,7.8,7.8,0.14,-0.8,-0.8
27,Samuel,br BRA,"FW,MF",Valencia,22,1999,32.1,6,96,33,34.4,2.99,1.03,0.06,0.18,17.9,0,0,0,7.8,7.7,0.08,-1.8,-1.7
28,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20,8,58,21,36.2,2.9,1.05,0.14,0.38,11.6,0,0,0,7.7,7.7,0.13,0.3,0.3
29,Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,27,1994,32.9,9,91,22,24.2,2.76,0.67,0.09,0.36,24.6,3,1,3,7.7,5.3,0.06,1.3,2.7
30,Oihan Sancet,es ESP,MF,Athletic Club,22,2000,28.1,10,56,19,33.9,1.99,0.68,0.14,0.42,17.6,0,2,2,7.6,6,0.11,2.4,2
31,Cyle Larin,ca CAN,FW,Valladolid,27,1995,16.3,8,49,17,34.7,3,1.04,0.12,0.35,14.1,0,2,2,7.5,5.9,0.12,0.5,0.1
32,Rafa Mir,es ESP,FW,Sevilla,25,1997,14.4,6,50,15,30,3.47,1.04,0.12,0.4,12.5,0,0,0,7.4,7.4,0.15,-1.4,-1.4
33,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,6,76,19,25,2.85,0.71,0.08,0.32,16,0,0,0,7.3,7.3,0.1,-1.3,-1.3
34,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27,1995,16.2,9,43,18,41.9,2.66,1.11,0.21,0.5,15.3,0,0,0,7.2,7.2,0.17,1.8,1.8
35,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19,8,64,21,32.8,3.37,1.11,0.09,0.29,21.9,2,2,3,6.7,4.4,0.07,1.3,1.6
36,Justin Kluivert,nl NED,"FW,MF",Valencia,23,1999,16.1,6,43,15,34.9,2.67,0.93,0.12,0.33,18.1,2,1,1,6.6,5.9,0.14,-0.6,-0.9
37,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23,1999,26,6,60,17,28.3,2.31,0.65,0.1,0.35,17.4,0,0,0,6.5,6.5,0.11,-0.5,-0.5
38,José Luis Morales,es ESP,"FW,MF",Villarreal,35,1987,13.5,7,41,21,51.2,3.05,1.56,0.17,0.33,14.7,0,0,0,6.5,6.5,0.17,0.5,0.5
39,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,16,9,58,24,41.4,3.62,1.5,0.16,0.38,21.5,5,0,1,6.3,5.5,0.1,2.7,3.5
40,El Bilal Touré,ml MLI,FW,Almería,20,2001,14,7,29,14,48.3,2.06,1,0.24,0.5,11.5,0,0,0,6.3,6.3,0.22,0.7,0.7
41,Gorka Guruzeta,es ESP,FW,Athletic Club,25,1996,15.8,6,51,17,33.3,3.23,1.08,0.12,0.35,12.7,2,0,0,6.1,6.1,0.12,-0.1,-0.1
42,Gabriel Veiga,es ESP,MF,Celta Vigo,20,2002,25.5,11,62,29,46.8,2.43,1.14,0.18,0.38,19.8,0,0,0,6.1,6.1,0.1,4.9,4.9
43,Edinson Cavani,uy URU,FW,Valencia,35,1987,16.1,5,31,8,25.8,1.93,0.5,0.1,0.38,14.7,3,2,3,6,3.6,0.12,-1,-0.6
44,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,21,2001,27.1,9,72,30,41.7,2.66,1.11,0.13,0.3,17.8,3,0,0,5.7,5.7,0.08,3.3,3.3
45,Brais Méndez,es ESP,MF,Real Sociedad,25,1997,26.7,8,60,21,35,2.24,0.79,0.13,0.38,21.4,9,0,0,5.6,5.6,0.09,2.4,2.4
46,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,22,2000,18.9,4,41,15,36.6,2.16,0.79,0.1,0.27,12.6,0,0,0,5.6,5.6,0.14,-1.6,-1.6
47,Lee Kang-in,kr KOR,"MF,FW",Mallorca,21,2001,31.4,6,46,14,30.4,1.47,0.45,0.13,0.43,20,7,0,0,5.4,5.4,0.12,0.6,0.6
48,Pere Milla,es ESP,"FW,MF",Elche,29,1992,20.5,6,33,7,21.2,1.61,0.34,0.09,0.43,15,1,3,3,5.4,3,0.09,0.6,0
49,Érik Lamela,ar ARG,"FW,MF",Sevilla,30,1992,20.5,6,47,23,48.9,2.29,1.12,0.13,0.26,15,2,0,0,5.3,5.3,0.11,0.7,0.7
