Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
170,Dion Drena Beljo,hr CRO,FW,Augsburg,20,2002,12.5,3,13,5,38.5,1.04,0.4,0.23,0.6,15.2,0,0,0,1.6,1.6,0.12,1.4,1.4
171,Josip Juranović,hr CRO,DF,Union Berlin,26,1995,10.4,2,6,1,16.7,0.58,0.1,0.17,1,29.6,2,1,1,1.6,0.8,0.14,0.4,0.2
172,Arne Maier,de GER,MF,Augsburg,23,1999,21.8,5,28,10,35.7,1.29,0.46,0.18,0.5,21.1,3,0,0,1.6,1.6,0.06,3.4,3.4
173,Luca Pfeiffer,de GER,FW,Stuttgart,25,1996,7.8,0,12,1,8.3,1.54,0.13,0,0,13.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
174,Keven Schlotterbeck,de GER,DF,Bochum,25,1997,8.2,2,8,4,50,0.98,0.49,0.25,0.5,12,0,0,0,1.6,1.6,0.2,0.4,0.4
175,Nico Schlotterbeck,de GER,DF,Dortmund,22,1999,25,4,18,6,33.3,0.72,0.24,0.22,0.67,16.9,0,0,0,1.6,1.6,0.09,2.4,2.4
176,Niklas Schmidt,de GER,MF,Werder Bremen,24,1998,12.1,3,21,9,42.9,1.74,0.75,0.14,0.33,21.3,2,0,0,1.6,1.6,0.08,1.4,1.4
177,Chidera Ejuke,ng NGA,"FW,MF",Hertha BSC,24,1998,9.9,0,24,5,20.8,2.43,0.51,0,0,21.1,0,0,0,1.5,1.5,0.06,-1.5,-1.5
178,Marc-Oliver Kempf,de GER,DF,Hertha BSC,27,1995,30.1,1,16,5,31.3,0.53,0.17,0.06,0.2,11.5,0,0,0,1.5,1.5,0.1,-0.5,-0.5
179,Alex Král,cz CZE,MF,Schalke 04,24,1998,26.2,0,32,2,6.3,1.22,0.08,0,0,20.1,0,0,0,1.5,1.5,0.05,-1.5,-1.5
180,Romano Schmid,at AUT,"MF,FW",Werder Bremen,22,2000,16.9,1,18,3,16.7,1.07,0.18,0.06,0.33,21.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5
181,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,1,11,4,36.4,2.99,1.09,0.09,0.25,14.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4
182,Leonardo Bittencourt,de GER,"MF,DF",Werder Bremen,28,1993,18.1,3,25,9,36,1.38,0.5,0.12,0.33,22.3,2,0,0,1.4,1.4,0.05,1.6,1.6
183,Philipp Förster,de GER,MF,Bochum,27,1995,14.5,3,17,6,35.3,1.17,0.41,0.18,0.5,20.2,2,0,0,1.4,1.4,0.08,1.6,1.6
184,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,31,1991,31.1,0,15,4,26.7,0.48,0.13,0,0,15.4,0,0,0,1.4,1.4,0.1,-1.4,-1.4
185,Philipp Lienhart,at AUT,DF,Freiburg,26,1996,27.8,1,17,3,17.6,0.61,0.11,0.06,0.33,16.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4
186,Obite N'Dicka,ci CIV,DF,Eint Frankfurt,22,1999,29.9,1,17,3,17.6,0.57,0.1,0.06,0.33,12.7,0,0,0,1.4,1.4,0.08,-0.4,-0.4
187,Ivan Ordets,ua UKR,DF,Bochum,30,1992,27.2,0,17,1,5.9,0.62,0.04,0,0,11.7,0,0,0,1.4,1.4,0.08,-1.4,-1.4
188,Miloš Pantović,rs SRB,MF,Union Berlin,26,1996,2.3,1,5,2,40,2.18,0.87,0.2,0.5,18.4,0,0,1,1.4,0.6,0.11,-0.4,0.4
189,Hannes Wolf,at AUT,FW,M'Gladbach,23,1999,5,1,8,3,37.5,1.6,0.6,0.13,0.33,13.8,0,0,0,1.4,1.4,0.18,-0.4,-0.4
190,Kelvin Yeboah,it ITA,"FW,MF",Augsburg,22,2000,3.9,1,13,2,15.4,3.31,0.51,0.08,0.5,12.8,0,0,0,1.4,1.4,0.11,-0.4,-0.4
191,Moritz Broschinski,de GER,"FW,MF",Bochum,21,2000,2.4,2,5,4,80,2.11,1.69,0.4,0.5,12.2,0,0,0,1.3,1.3,0.26,0.7,0.7
192,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,23,1998,3.6,1,7,2,28.6,1.92,0.55,0.14,0.5,14.9,0,0,0,1.3,1.3,0.19,-0.3,-0.3
193,Thorgan Hazard,be BEL,"FW,DF",Dortmund,29,1993,5.2,0,8,3,37.5,1.55,0.58,0,0,14.2,0,0,0,1.3,1.3,0.17,-1.3,-1.3
194,Piero Hincapié,ec ECU,DF,Leverkusen,20,2002,27.3,1,17,6,35.3,0.62,0.22,0.06,0.17,16.6,0,0,0,1.3,1.3,0.08,-0.3,-0.3
195,Anthony Jung,de GER,"DF,FW",Werder Bremen,30,1991,29.1,2,17,6,35.3,0.58,0.21,0.12,0.33,17,0,0,0,1.3,1.3,0.08,0.7,0.7
196,Ozan Kabak,tr TUR,DF,Hoffenheim,22,2000,26.5,2,24,6,25,0.9,0.23,0.08,0.33,13.8,0,0,0,1.3,1.3,0.05,0.7,0.7
197,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,30,1992,18.5,1,8,1,12.5,0.43,0.05,0.13,1,10.5,0,0,0,1.3,1.3,0.17,-0.3,-0.3
198,Yussuf Poulsen,dk DEN,FW,RB Leipzig,28,1994,4.6,2,13,6,46.2,2.85,1.31,0.15,0.33,13.4,0,0,0,1.3,1.3,0.1,0.7,0.7
199,Micky van de Ven,nl NED,DF,Wolfsburg,21,2001,33,1,16,1,6.3,0.48,0.03,0.06,1,17.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
200,Christian Günter,de GER,"DF,MF",Freiburg,29,1993,30.5,1,27,7,25.9,0.88,0.23,0.04,0.14,21.8,0,0,0,1.2,1.2,0.05,-0.2,-0.2
201,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,25,1997,24.3,2,31,4,12.9,1.28,0.16,0.06,0.5,21.3,0,0,0,1.2,1.2,0.04,0.8,0.8
202,Kouadio Koné,fr FRA,MF,M'Gladbach,21,2001,29,1,26,14,53.8,0.9,0.48,0.04,0.07,25.1,0,0,0,1.2,1.2,0.05,-0.2,-0.2
203,Jordan Larsson,se SWE,"FW,MF",Schalke 04,25,1997,5.1,0,10,0,0,1.94,0,0,,16.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2
204,Enzo Millot,fr FRA,MF,Stuttgart,20,2002,9.9,0,17,7,41.2,1.72,0.71,0,0,18,1,0,0,1.2,1.2,0.07,-1.2,-1.2
205,Nils Petersen,de GER,FW,Freiburg,33,1988,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,17.7,0,0,0,1.2,1.2,0.13,-0.2,-0.2
206,Paul Seguin,de GER,MF,Union Berlin,27,1995,7.7,1,15,4,26.7,1.95,0.52,0.07,0.25,23.1,0,0,0,1.2,1.2,0.08,-0.2,-0.2
207,Davie Selke,de GER,FW,Hertha BSC,27,1995,3.1,1,5,3,60,1.6,0.96,0,0,17.6,0,1,1,1.2,0.4,0.08,-0.2,-0.4
208,Ruben Vargas,ch SUI,"MF,FW",Augsburg,23,1998,12.6,3,21,6,28.6,1.67,0.48,0.14,0.5,20.4,1,0,0,1.2,1.2,0.06,1.8,1.8
209,Marius Wolf,de GER,DF,Dortmund,27,1995,17.4,1,23,6,26.1,1.32,0.34,0.04,0.17,19.4,0,0,0,1.2,1.2,0.05,-0.2,-0.2
210,Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,0,21,4,19,0.72,0.14,0,0,20.5,4,0,0,1.1,1.1,0.05,-1.1,-1.1
211,Niko Gießelmann,de GER,DF,Union Berlin,30,1991,14.5,0,20,3,15,1.38,0.21,0,0,20.2,2,0,0,1.1,1.1,0.06,-1.1,-1.1
212,Marcel Halstenberg,de GER,DF,RB Leipzig,30,1991,17.3,1,9,3,33.3,0.52,0.17,0.11,0.33,12.8,0,0,0,1.1,1.1,0.12,-0.1,-0.1
213,Kevin Kampl,si SVN,MF,RB Leipzig,31,1990,15.2,2,7,2,28.6,0.46,0.13,0.29,1,19.4,0,0,0,1.1,1.1,0.16,0.9,0.9
214,Luca Kilian,de GER,DF,Köln,22,1999,12.5,1,4,1,25,0.32,0.08,0.25,1,9.8,0,0,0,1.1,1.1,0.28,-0.1,-0.1
215,Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,21,2000,4.2,1,14,6,42.9,3.32,1.42,0.07,0.17,18.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1
216,Matthijs de Ligt,nl NED,DF,Bayern Munich,22,1999,26.7,3,23,8,34.8,0.86,0.3,0.13,0.38,16,0,0,0,1.1,1.1,0.05,1.9,1.9
217,Noussair Mazraoui,ma MAR,DF,Bayern Munich,24,1997,11.9,1,8,2,25,0.67,0.17,0.13,0.5,18.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1
218,Marcel Sabitzer,at AUT,MF,Bayern Munich,28,1994,7,1,15,5,33.3,2.15,0.72,0.07,0.2,21.7,0,0,0,1.1,1.1,0.07,-0.1,-0.1
219,Jonathan Tah,de GER,DF,Leverkusen,26,1996,27.6,1,10,2,20,0.36,0.07,0.1,0.5,9.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1
220,Jan Thielmann,de GER,FW,Köln,20,2002,9.7,2,13,7,53.8,1.35,0.72,0.15,0.29,18.1,0,0,0,1.1,1.1,0.08,0.9,0.9
221,Julian Weigl,de GER,MF,M'Gladbach,26,1995,21,1,7,0,0,0.33,0,0,,16.7,0,1,1,1.1,0.3,0.04,-0.1,-0.3
222,Tom Bischof,de GER,"MF,FW",Hoffenheim,17,2005,3.5,0,7,2,28.6,2,0.57,0,0,22.4,0,0,0,1,1,0.14,-1,-1
223,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,25,1997,3,2,8,5,62.5,2.69,1.68,0.25,0.4,14,0,0,0,1,1,0.13,1,1
224,Moritz Jenz,de GER,DF,Schalke 04,23,1999,10.5,0,10,3,30,0.95,0.29,0,0,9.7,0,0,0,1,1,0.1,-1,-1
225,Luca Netz,de GER,DF,M'Gladbach,19,2003,7.8,1,4,2,50,0.51,0.26,0.25,0.5,14.8,0,0,0,1,1,0.26,0,0
226,Borna Sosa,hr CRO,DF,Stuttgart,24,1998,21.7,2,15,6,40,0.69,0.28,0.13,0.33,20.7,6,0,0,1,1,0.07,1,1
227,Maya Yoshida,jp JPN,DF,Schalke 04,33,1988,28.4,0,12,2,16.7,0.42,0.07,0,0,13.9,0,0,0,1,1,0.08,-1,-1
228,Maximilian Eggestein,de GER,MF,Freiburg,25,1996,27.2,1,16,4,25,0.59,0.15,0.06,0.25,21.6,0,0,0,0.9,0.9,0.06,0.1,0.1
229,Marvin Friedrich,de GER,DF,M'Gladbach,26,1995,13.9,1,9,4,44.4,0.65,0.29,0.11,0.25,12.9,0,0,0,0.9,0.9,0.09,0.1,0.1
230,Ryan Gravenberch,nl NED,MF,Bayern Munich,20,2002,6.4,0,11,3,27.3,1.72,0.47,0,0,20.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9
231,Ansgar Knauff,de GER,DF,Eint Frankfurt,20,2002,14.3,1,15,7,46.7,1.05,0.49,0.07,0.14,19.7,0,0,0,0.9,0.9,0.06,0.1,0.1
232,Lukas Kübler,de GER,DF,Freiburg,29,1992,18.2,2,9,4,44.4,0.49,0.22,0.22,0.5,12.2,0,0,0,0.9,0.9,0.1,1.1,1.1
233,Danny Latza,de GER,MF,Schalke 04,32,1989,9.5,0,16,2,12.5,1.69,0.21,0,0,19,1,0,0,0.9,0.9,0.06,-0.9,-0.9
234,Hugo Novoa,es ESP,"DF,FW",RB Leipzig,19,2003,2,1,3,2,66.7,1.47,0.98,0.33,0.5,13.2,0,0,0,0.9,0.9,0.29,0.1,0.1
235,Sebastian Rode,de GER,MF,Eint Frankfurt,31,1990,15.7,4,9,4,44.4,0.57,0.25,0.44,1,18.7,0,0,0,0.9,0.9,0.1,3.1,3.1
236,Filip Uremović,hr CRO,DF,Hertha BSC,25,1997,19.2,0,9,3,33.3,0.47,0.16,0,0,12.7,0,0,0,0.9,0.9,0.1,-0.9,-0.9
237,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.4,22.1,0,0,0,0.8,0.8,0.05,1.2,1.2
