Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
265,Johann Lepenant,fr FRA,MF,Lyon,19,2002,21.5,1,19,1,5.3,0.88,0.05,0.05,1,23.8,0,0,0,0.9,0.9,0.05,0.1,0.1
266,Dion Lopy,sn SEN,MF,Reims,20,2002,15.3,0,18,4,22.2,1.17,0.26,0,0,23.3,0,0,0,0.9,0.9,0.05,-0.9,-0.9
267,Jordan Lotomba,ch SUI,DF,Nice,23,1998,27.3,0,13,5,38.5,0.48,0.18,0,0,19.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9
268,Batista Mendy,fr FRA,"MF,DF",Angers,22,2000,31.8,0,15,2,13.3,0.47,0.06,0,0,24,0,0,0,0.9,0.9,0.06,-0.9,-0.9
269,Joe Rodon,wls WAL,DF,Rennes,24,1997,15.7,1,7,2,28.6,0.44,0.13,0.14,0.5,6.9,0,0,0,0.9,0.9,0.13,0.1,0.1
270,Pablo Rosario,nl NED,"MF,DF",Nice,25,1997,19.6,0,10,2,20,0.51,0.1,0,0,16.3,0,0,0,0.9,0.9,0.09,-0.9,-0.9
271,Halid Šabanović,ba BIH,DF,Angers,22,1999,7.1,2,5,3,60,0.71,0.42,0.4,0.67,17.1,0,0,0,0.9,0.9,0.18,1.1,1.1
272,Lesley Ugochukwu,fr FRA,MF,Rennes,18,2004,14.8,0,6,1,16.7,0.41,0.07,0,0,18.4,0,0,0,0.9,0.9,0.15,-0.9,-0.9
273,Matthis Abline,fr FRA,"FW,MF",Rennes,19,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0,0,0,0.8,0.8,0.13,0.2,0.2
274,Lucien Agoume,fr FRA,MF,Troyes,20,2002,12.2,0,9,3,33.3,0.74,0.25,0,0,15.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8
275,Pedro Chirivella,es ESP,MF,Nantes,25,1997,22.5,0,16,5,31.3,0.71,0.22,0,0,22.2,0,0,0,0.8,0.8,0.05,-0.8,-0.8
276,Mikkel Desler,dk DEN,DF,Toulouse,27,1995,25.1,1,11,4,36.4,0.44,0.16,0.09,0.25,17.6,0,0,0,0.8,0.8,0.07,0.2,0.2
277,Sinaly Diomande,ci CIV,DF,Lyon,21,2001,21.7,0,10,2,20,0.46,0.09,0,0,12.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8
278,Jordan Ferri,fr FRA,MF,Montpellier,30,1992,30.4,1,14,2,14.3,0.46,0.07,0.07,0.5,24.1,0,0,0,0.8,0.8,0.06,0.2,0.2
279,Gerson,br BRA,MF,Marseille,25,1997,4.6,2,9,6,66.7,1.94,1.29,0.22,0.33,15.8,0,0,0,0.8,0.8,0.09,1.2,1.2
280,Jonathan Gradit,fr FRA,DF,Lens,29,1992,31.4,1,5,1,20,0.16,0.03,0.2,1,14.1,0,0,0,0.8,0.8,0.16,0.2,0.2
281,Andrew Gravillon,gp GLP,DF,Reims,24,1998,11.5,0,8,1,12.5,0.69,0.09,0,0,18.3,1,0,0,0.8,0.8,0.1,-0.8,-0.8
282,Dejan Lovren,hr CRO,DF,Lyon,33,1989,16.2,1,13,3,23.1,0.8,0.19,0.08,0.33,12.5,1,0,0,0.8,0.8,0.06,0.2,0.2
283,Hugo Magnetti,fr FRA,MF,Brest,24,1998,18.8,1,17,6,35.3,0.91,0.32,0.06,0.17,24.7,0,0,0,0.8,0.8,0.05,0.2,0.2
284,Béni Makouana,cg CGO,"FW,MF",Montpellier,19,2002,2.2,0,6,1,16.7,2.73,0.45,0,0,13.9,0,0,0,0.8,0.8,0.14,-0.8,-0.8
285,Gelson Martins,pt POR,"MF,FW",Monaco,27,1995,3.8,0,12,3,25,3.13,0.78,0,0,15.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
286,Quentin Merlin,fr FRA,DF,Nantes,20,2002,19.9,1,15,4,26.7,0.75,0.2,0.07,0.25,22.8,1,0,0,0.8,0.8,0.05,0.2,0.2
287,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,24,1998,3.7,0,10,7,70,2.68,1.87,0,0,20,0,0,0,0.8,0.8,0.08,-0.8,-0.8
288,Falaye Sacko,ml MLI,DF,Montpellier,27,1995,28.7,1,6,2,33.3,0.21,0.07,0.17,0.5,16.7,0,0,0,0.8,0.8,0.13,0.2,0.2
289,Issiaga Sylla,gn GUI,DF,Montpellier,28,1994,14.5,1,10,1,10,0.69,0.07,0.1,1,14.8,0,0,0,0.8,0.8,0.08,0.2,0.2
290,Jean-Clair Todibo,fr FRA,DF,Nice,22,1999,31.9,0,14,4,28.6,0.44,0.13,0,0,13.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8
291,Yan Valery,tn TUN,DF,Angers,23,1999,27.7,0,13,2,15.4,0.47,0.07,0,0,21,0,0,0,0.8,0.8,0.06,-0.8,-0.8
292,Marco Verratti,it ITA,MF,Paris S-G,29,1992,24.4,0,8,4,50,0.33,0.16,0,0,17.8,0,0,0,0.8,0.8,0.1,-0.8,-0.8
293,Clément Vidal,fr FRA,"DF,MF",Ajaccio,22,2000,21.1,1,12,2,16.7,0.57,0.09,0.08,0.5,10.8,0,0,0,0.8,0.8,0.06,0.2,0.2
294,Youcef Belaïli,dz ALG,"FW,MF",Brest,30,1992,4,0,9,1,11.1,2.28,0.25,0,0,16,1,0,0,0.7,0.7,0.08,-0.7,-0.7
295,Andreas Bruus,dk DEN,"DF,FW",Troyes,23,1999,18.1,0,11,3,27.3,0.61,0.17,0,0,19.7,1,0,0,0.7,0.7,0.07,-0.7,-0.7
296,Jean-Charles Castelletto,cm CMR,DF,Nantes,27,1995,28.5,0,9,3,33.3,0.32,0.11,0,0,13.4,0,0,0,0.7,0.7,0.08,-0.7,-0.7
297,Fabien Centonze,fr FRA,DF,Nantes,26,1996,18.8,0,14,0,0,0.75,0,0,,23,0,0,0,0.7,0.7,0.05,-0.7,-0.7
298,Ckene Doucouré,km COM,"FW,MF",Lorient,20,2002,1.5,0,7,1,14.3,4.63,0.66,0,0,13.5,0,0,0,0.7,0.7,0.11,-0.7,-0.7
299,Noah Fadiga,sn SEN,DF,Brest,22,1999,14.5,1,11,3,27.3,0.76,0.21,0.09,0.33,18.3,0,0,0,0.7,0.7,0.07,0.3,0.3
300,Pape Gueye,sn SEN,"MF,DF",Marseille,23,1999,5.5,1,8,4,50,1.46,0.73,0.13,0.25,16.8,0,0,0,0.7,0.7,0.09,0.3,0.3
301,Presnel Kimpembe,fr FRA,DF,Paris S-G,26,1995,8.1,0,4,0,0,0.49,0,0,,6.3,0,0,0,0.7,0.7,0.17,-0.7,-0.7
302,Boubakar Kouyaté,ml MLI,DF,Montpellier,25,1997,14,0,11,3,27.3,0.79,0.21,0,0,11.5,0,0,0,0.7,0.7,0.06,-0.7,-0.7
303,Chrislain Matsima,fr FRA,DF,Monaco,20,2002,5,0,3,2,66.7,0.61,0.4,0,0,8,0,0,0,0.7,0.7,0.22,-0.7,-0.7
